DateTime,Andheri,B ward,Bandra,Byculla,C ward,Chembur,Chincholi,Colaba,D Ward,Dahisar,Dindoshi,F North,F South,G South,Gowanpada,H West ward,K East ward,K West ward,Kandivali,Kurla,L ward,M West ward,Malvani,Marol,MCGM 1,Memonwada,Mulund,N ward,Nariman Fire,Rawali camp,S ward,SWD Workshop dadar,Thakare natya,Vikhroli,vileparle W,Worli
2024-06-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0.25,0,0,0,0,0.6,0,0,0,0,0,0,0,0
2024-06-04 00:00:00,0.51,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-05 00:00:00,0,0.25,0,0,0,63.99,0,0.5,0,8.63,0,21.34,0,33.27,3.29,1.77,1.5,19.3,8.63,8.63,8.63,21.6,0.5,0,0.6,0,3.81,3.2,3.81,0,2.78,0,0,0,1.01,0.76
2024-06-06 00:00:00,0,0,0,0,0,5.08,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0.51,8.12,1.02,0,0,0,0,1.2,0,0.25,0,0,0,0,0,0
2024-06-07 00:00:00,0,0,0,0,0,0,0,0,0,0.25,0.8,0,0,0,0,1.01,0,0.5,0.25,0,0,0,0,0,0,0,0,0,4.57,0,0.5,0,0,0,0.51,0
2024-06-08 00:00:00,5.33,2.53,3.56,3.55,4.32,3.03,7.1,0.5,0,5.59,2.8,2.52,5.33,2.03,6.09,1.27,1.02,19.03,5.59,0,2.54,7.6,1.01,0,0.4,0,5.58,1,15.74,3.04,1.77,0,5.08,0,0,0.25
2024-06-09 00:00:00,137.1,65.74,69.09,128.98,119.84,20.99,92.67,131.75,46.97,65.24,26.2,39.08,94.68,91.16,27.39,138.37,130.79,78.96,26.65,46.97,70.59,55.4,76.92,66.76,64.4,71.61,25.62,111.8,56.33,34.18,142.98,113.4,116.32,65.8,36.8,81.26
2024-06-10 00:00:00,40.11,26.14,1.5,53.58,58.4,37.33,2.28,26.4,70.28,5.32,70,51.03,43.67,67.3,42.91,40.37,28.42,9.62,39.34,31.21,38.1,3.2,30.23,40.35,54.4,56.36,42.38,12.4,2,2.36,37.84,22.69,53.08,45.2,29.94,97.95
2024-06-11 00:00:00,5.58,8.89,0,0.76,19.82,3.3,10.91,52.31,13.21,0,7,0.5,0.5,0.25,24.09,2.02,26.42,30.98,1.78,6.08,5.33,6.34,31.2,18.53,28.6,7.88,13.96,25,37.83,0.25,12.2,0.5,1,0,8.11,0.76
2024-06-12 00:00:00,0,0.5,0,0,1.02,21.58,0.25,0,0,0,8.8,0,0,0,0,0,1.27,0.76,0,1.02,2.53,20.83,9.2,0.25,0,0,0,0.4,0.25,0.25,0,0,0,0,0,0
2024-06-13 00:00:00,0.75,1.01,10.91,0.25,0,1.52,0,0,5.08,31.39,6,4.05,1,4.82,0,2.04,9.39,2.03,1.01,11.7,8.89,0.5,6.8,5.58,0,0.76,0,0.8,0,10.16,5.4,4.31,3.06,0.6,0.5,5.58
2024-06-14 00:00:00,0,0,0,0,0,0,0,0,0,8.625,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-15 00:00:00,0,0,0,0,0.25,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2024-06-16 00:00:00,0,0,0.25,0,0.76,1.27,0,0,0,0,0,0,0,0,2.02,0,0,0,0.51,2.04,0.51,1.52,0,0,0,0,1.01,3.2,0,0,2.4,0,0,3.4,0,0
2024-06-17 00:00:00,0,1,0,0.25,1.77,1,4.58,5.07,3.905,0.25,0,0.5,0.5,2.53,4.32,0,0,0,0.25,0.5,0.5,2.28,0.2,0,2.4,1.76,0,1.2,1,0.75,0.8,0.5,0,0.4,0,2.27
2024-06-18 00:00:00,6.09,6.83,13.71,17.76,34.52,2.53,28.19,41.12,21.04,19.8,21.2,9.37,11.295,11.4,33.03,4.29,16.01,7.465,30.335,2.04,5.59,0.76,30.4,6.35,29.8,35.55,13.96,4.2,36.56,4.83,9.4,8.88,29.46,2.4,5.195,6.725
2024-06-19 00:00:00,22.58,15.71,46.96,12.41,12.43,45.23,90.57,14.45,13.42,130.27,63,109.16,40.56,46.15,18.43,20.79,19.47,23.03,119.84,35.74,42.95,106.93,134.4,42.35,29.6,11.41,37.06,49.6,5.26,119.41,34.4,38.01,170.68,41.6,25.13,42.67
2024-06-20 00:00:00,5.55,1.25,16.49,1.25,50.79,8.86,14.72,1.27,1,31.43,11.8,5.58,2.01,4.81,48.93,5.84,5.06,8.1,19.82,12.7,11.67,8.1,17,9.14,0.4,0.75,47.72,20.2,1.25,7.35,20.2,3.28,28.42,6.6,7.88,6.6
2024-06-21 00:00:00,14.98,6.09,3.8,0.5,2.03,10.91,32.99,0,0,14.98,31.5,4.81,4.185,5.075,57.67,3.415,29.97,2.39,23.475,9.735,6.6,12.195,17.5,7.61,0.4,3.3,43.235,5,0,9.91,68.1,8.12,31.745,25.5,3.79,3.29
2024-06-22 00:00:00,49.54,12.4,5.07,55.745,49.875,0.5,28.45,3.16,100.185,6.57,4.2,0,2.79,6.105,0.875,13.98,54.33,9.5,2.145,4.915,4.635,4.895,2.7,51.155,50,52.69,2.25,4.4,10.26,6.86,9,2.04,0,4.2,11.46,6.3
2024-06-23 00:00:00,3.52,0.25,14.74,2.04,0,19.55,0.25,0.76,1.02,1.77,3.9,1.76,1.27,4.32,1.64,2.27,7.495,10.14,2.53,12.18,5.33,4.57,10,2.545,2.2,0,0,6.4,4.06,1.51,3,8.87,0,5.3,10.9,9.64
2024-06-24 00:00:00,0,0.25,0.5,0,0,1,0,0,0.875,0,0.2,0,0.5,0.5,0,0,0.25,0.5,0,2.54,0.51,0.5,0.2,0,0,0,0.5,0,0,0,0,1.01,0,0,0.25,0
2024-06-25 00:00:00,7.12,11.16,4.04,7.62,6.08,12.93,11.18,12.7,10.41,9.9,13.4,8.37,7.12,8.62,4.82,6.34,8.86,8.88,9.65,17.77,11.42,11.43,14.4,9.64,8,4.04,5.33,16.6,10.66,10.15,10.8,7.62,12.69,15.6,8.11,12.68
2024-06-26 00:00:00,12.67,40.83,20.32,20.53,44.41,29.93,22.83,32.45,30.2,17.23,25,47.23,16.97,22.07,17.77,21.82,10.15,15.75,28.92,11.64,25.11,29.71,18.4,11.92,67,38.06,26.37,32.8,47.23,15.98,10.8,18.74,25.89,16.8,10.38,23.59
2024-06-27 00:00:00,58.265,70.32,82.165,51.305,55.375,71.435,66.355,66.275,52.795,47.98,59.8,82.125,57.12,65.345,54.55,52.665,72.84,69.56,60.41,98.015,82.77,63.815,43.8,59.995,72,51.4,60.3,79.5,73.91,73.61,47.4,57.58,61.45,70.2,60.955,61.95
2024-06-28 00:00:00,23.33,46.98,25.88,37.28,34,57.38,25.38,31.22,40.11,16.48,33.2,46.69,52.56,49.47,19.02,28.68,30.18,29.68,37.58,37.32,28.68,47.47,24.4,38.58,48,38.34,36.8,40.2,31.71,50.28,19.6,32.75,27.66,31.6,29.2,40.08
